Reg_No,Make,Model_1,Model,Variant_1,Variant,Year,Transaction_Year,Sold_Price,Out_Kms,Ownership,City
127872,HYUNDAI,SANTRO XING,SANTRO XING,GLS,GLS,2007,2016,194250,63049,2,BANGALORE
127910,VOLKSWAGEN,VENTO,VENTO,Highline Diesel,Highline Diesel,2013,2016,693750,17679,1,BANGALORE
127913,CHEVROLET,BEAT,BEAT,LS Diesel,LS Diesel,2012,2016,277500,62168,1,BANGALORE
128194,MARUTI SUZUKI,SWIFT DZIRE,SWIFT DZIRE,VDI,VDI,2010,2016,410700,87947,1,BANGALORE
128228,HONDA,CITY,CITY,1.5 S MT,1.5 S MT,2009,2016,477300,66498,1,BANGALORE
128261,FORD,ECOSPORT,ECOSPORT,TITANIUM 1.5 TDCI,TITANIUM 1.5 TDCI,2013,2016,721500,54124,1,BANGALORE
128289,HYUNDAI,I10,I10,SPORTZ 1.2,SPORTZ 1.2,2009,2016,277500,49922,1,BANGALORE
128341,MARUTI SUZUKI,RITZ,RITZ,VXI,VXI,2014,2016,466200,4539,1,BANGALORE
128349,TATA,NANO,NANO,TWIST XT,TWIST XT,2015,2016,166500,5174,1,BANGALORE
128370,HYUNDAI,VERNA,VERNA,CRDI VGT 1.5,CRDI VGT 1.5,2006,2016,155400,99619,2,BANGALORE
128401,HYUNDAI,GRAND I10,GRAND I10,SPORTZ 1.2 KAPPA VTVT,SPORTZ 1.2 KAPPA VTVT,2015,2016,527250,60,1,BANGALORE
128402,MARUTI SUZUKI,SWIFT,SWIFT,VDI,VDI,2012,2016,510600,60330,1,BANGALORE
128499,TOYOTA,COROLLA ALTIS,COROLLA ALTIS,G DIESEL,G DIESEL,2013,2016,888000,24692,1,BANGALORE
128555,HYUNDAI,I10,I10,MAGNA 1.2,MAGNA 1.2,2009,2016,260850,59260,1,BANGALORE
128595,HYUNDAI,VERNA,VERNA,VTVT 1.6,VTVT 1.6,2007,2016,188700,34674,1,BANGALORE
128730,MARUTI SUZUKI,A-STAR,A-STAR,LXI,LXI,2010,2016,177600,64570,1,BANGALORE
128731,CHEVROLET,BEAT,BEAT,LT DIESEL,LT DIESEL,2011,2016,266400,58195,1,BANGALORE
128813,MARUTI SUZUKI,ALTO,ALTO,LXI,LXI,2010,2016,205350,17923,1,BANGALORE
128902,RENAULT,DUSTER,DUSTER,110 PS RXZ DIESEL,110 PS RXZ DIESEL,2014,2016,954600,41260,1,BANGALORE
128917,HONDA,CITY ZX,CITY ZX,GXi,GXi,2007,2016,222000,115808,1,BANGALORE
128968,HYUNDAI,EON,EON,D-LITE,D-LITE,2012,2016,166500,33306,1,BANGALORE
128976,RENAULT,DUSTER,DUSTER,85 PS RXL DIESEL,85 PS RXL DIESEL,2013,2016,804750,29232,1,BANGALORE
129005,HYUNDAI,SANTRO XING XING,SANTRO XING XING,XK,XK,2006,2016,115000,59629,1,BANGALORE
129164,FORD,ENDEAVOUR,ENDEAVOUR,2.5L 4X2,2.5L 4X2,2012,2016,943500,116099,1,BANGALORE
129212,HYUNDAI,GRAND I10,GRAND I10,Asta 1.2 Kappa VTVT (O),Asta 1.2 Kappa VTVT (O),2015,2016,521700,6185,1,BANGALORE
129425,HYUNDAI,EON,EON,ERA +,ERA +,2012,2016,244200,3193,1,BANGALORE
129509,VOLKSWAGEN,POLO,POLO,Highline1.2L (D),Highline1.2L (D),2013,2016,466200,65400,1,BANGALORE
129567,TATA,INDICA V2,INDICA V2,DLG,DLG,2008,2016,135000,86771,2,BANGALORE
129661,TOYOTA,ETIOS LIVA,ETIOS LIVA,GD,GD,2012,2016,444000,68405,1,BANGALORE
129910,MARUTI SUZUKI,WAGON R 1.0,Wagon R,VXI,VXI,2012,2016,344100,23318,1,BANGALORE
130031,MARUTI SUZUKI,SWIFT DZIRE,SWIFT DZIRE,VDI,VDI,2014,2016,643800,16993,1,BANGALORE
130135,HYUNDAI,I20,I20,Asta 1.2,Asta 1.2,2010,2016,382950,75652,1,BANGALORE
130190,AUDI,A4,A4,2.0 TDI (143bhp),2.0 TDI (143bhp),2013,2016,2164500,49270,1,BANGALORE
130461,HYUNDAI,I10,I10,Magna 1.1 LPG,Magna 1.1 LPG,2011,2016,321900,38193,1,BANGALORE
130501,TATA,NANO,NANO,CX,CX,2012,2016,75000,10920,1,BANGALORE
130607,HONDA,CITY,CITY,1.5 E MT,1.5 E MT,2012,2016,527250,45067,1,BANGALORE
130746,HYUNDAI,I20,I20,ASTA 1.4 CRDI 6 SPEED,ASTA 1.4 CRDI 6 SPEED,2010,2016,333000,36215,3,BANGALORE
130839,HYUNDAI,SANTRO XING XING,SANTRO XING XING,GLS,GLS,2008,2016,199800,59384,2,BANGALORE
130888,HYUNDAI,ACCENT,ACCENT,GLE,GLE,2009,2016,188700,29523,2,BANGALORE
130925,HYUNDAI,GRAND I10,GRAND I10,Sportz 1.2 Kappa VTVT,Sportz 1.2 Kappa VTVT,2014,2016,471750,9017,1,BANGALORE
130955,MAHINDRA,XUV500,XUV500,W8,W8,2012,2016,943500,67790,1,BANGALORE
131067,TOYOTA,ETIOS LIVA,ETIOS LIVA,GD,GD,2011,2016,399600,68125,1,BANGALORE
131208,SKODA,RAPID,RAPID,Elegance 1.6 TDI CR MT,Elegance 1.6 TDI CR MT,2014,2016,677100,16252,2,BANGALORE
131239,HYUNDAI,VERNA,VERNA,Xi,Xi,2007,2016,244200,48064,2,BANGALORE
131265,TATA,NANO,NANO,LX,LX,2012,2016,85000,18125,1,BANGALORE
131402,TATA,NANO,NANO,CX,CX,2013,2016,90000,3665,2,BANGALORE
131404,HONDA,BRIO,BRIO,EX MT,EX MT,2014,2016,388500,20558,1,BANGALORE
131433,MARUTI SUZUKI,SWIFT,SWIFT,LDI,LDI,2010,2016,399600,51519,1,BANGALORE
131476,FORD,FIGO,FIGO,DURATEC PETROL ZXI 1.2,DURATEC PETROL ZXI 1.2,2012,2016,299700,13467,1,BANGALORE
131503,HYUNDAI,SANTRO XING XING,SANTRO XING XING,XO,XO,2006,2016,188700,35325,1,BANGALORE
131546,MAHINDRA,SCORPIO,SCORPIO,VLX 2WD,VLX 2WD,2011,2016,444000,119404,2,BANGALORE
131548,MAHINDRA,XUV500,XUV500,W6,W6,2015,2016,1248750,7138,1,BANGALORE
131640,HYUNDAI,I10,I10,MAGNA 1.2,MAGNA 1.2,2011,2016,266400,59877,3,BANGALORE
131687,FORD,FIESTA,FIESTA,ZXI 1.4 TDCI,ZXI 1.4 TDCI,2007,2016,166500,87096,1,BANGALORE
131744,HYUNDAI,SANTRO XING XING,SANTRO XING XING,GLS,GLS,2009,2016,233100,38346,2,BANGALORE
131811,MAHINDRA,XYLO,XYLO,H8 ABS AIRBAG,H8 ABS AIRBAG,2015,2016,743700,1159,1,BANGALORE
131849,CHEVROLET,ENJOY,ENJOY,1.3 LTZ 7 STR,1.3 LTZ 7 STR,2013,2016,421800,41555,2,BANGALORE
131888,FORD,FIGO,FIGO,DURATORQ DIESEL TITANIUM 1.4,DURATORQ DIESEL TITANIUM 1.4,2012,2016,355200,26540,2,BANGALORE
131901,HYUNDAI,I10,I10,ERA,ERA,2008,2016,188700,77442,2,BANGALORE
131917,MAHINDRA,XUV500,XUV500,W8,W8,2011,2016,915750,49977,1,BANGALORE
131968,RENAULT,PULSE,PULSE,RXL,RXL,2013,2016,377400,44772,1,BANGALORE
131982,HYUNDAI,VERNA,VERNA,FLUIDIC 1.6 CRDI SX AT,FLUIDIC 1.6 CRDI SX AT,2013,2016,666000,31168,1,BANGALORE
132029,RENAULT,DUSTER,DUSTER,85 PS RXL DIESEL,85 PS RXL DIESEL,2013,2016,749250,47954,1,BANGALORE
132157,MARUTI SUZUKI,SWIFT,SWIFT,VDI,VDI,2014,2016,632700,15408,1,BANGALORE
132220,TATA,NANO,NANO,LX,LX,2012,2016,85000,12681,2,BANGALORE
132233,MARUTI SUZUKI,SWIFT,SWIFT,ZDI,ZDI,2012,2016,466200,87269,1,BANGALORE
132256,TATA,MANZA,MANZA,AURA (+) SAFIRE,AURA (+) SAFIRE,2010,2016,166500,33287,2,BANGALORE
132274,MARUTI SUZUKI,ALTO,ALTO,LXI,LXI,2008,2016,166500,76652,1,BANGALORE
132315,NISSAN,MICRA,MICRA,XV PREMIUM DIESEL,XV PREMIUM DIESEL,2012,2016,377400,39400,1,BANGALORE
132323,HYUNDAI,SANTRO XING XING,SANTRO XING XING,XO,XO,2005,2016,155400,64649,1,BANGALORE
132336,VOLKSWAGEN,VENTO,VENTO,HIGHLINE PETROL,HIGHLINE PETROL,2013,2016,521700,25283,1,BANGALORE
132436,NISSAN,SUNNY,SUNNY,XL,XL,2014,2016,499500,6086,1,BANGALORE
132478,NISSAN,SUNNY,SUNNY,XV DIESEL,XV DIESEL,2012,2016,521700,62199,1,BANGALORE
132514,MARUTI SUZUKI,CELERIO,CELERIO,VXI AT,VXI AT,2014,2016,444000,17796,1,BANGALORE
